Rate Plan Name,Rate Plan Code,Before/After Baseline,Season Name,Start Date,End Date,Start Time,End Time,Cost in cents,Source
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,12:00 AM,4:00 PM,13.219,totalgreen
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,21.132,totalgreen
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,21.132,totalgreen
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,13.219,totalgreen
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,13.219,totalgreen
Time-of-Use,E-TOU-C,Above Baseline,Winter Season,Oct 1,May 31,12:00 AM,4:00 PM,12.958,totalgreen
Time-of-Use,E-TOU-C,Below Baseline,Winter Season,Oct 1,May 31,12:00 AM,4:00 PM,12.958,totalgreen
Time-of-Use,E-TOU-C,Above Baseline,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,15.5,totalgreen
Time-of-Use,E-TOU-C,Below Baseline,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,15.5,totalgreen
Time-of-Use,E-TOU-C,Above Baseline,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,12.958,totalgreen
Time-of-Use,E-TOU-C,Below Baseline,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,12.958,totalgreen
Time-of-Use,E-TOU-D,,Summer Season,June 1,Sept 30,12:00 AM,5:00 PM,12.87,pge
Time-of-Use,E-TOU-D,,Summer Season,June 1,Sept 30,5:00 PM,8:00 PM,23.366,pge
Time-of-Use,E-TOU-D,,Summer Season,June 1,Sept 30,8:00 PM,12:00 AM,12.87,pge
Time-of-Use,E-TOU-D,,Winter Season,Oct 1,May 31,12:00 AM,5:00 PM,15.771,pge
Time-of-Use,E-TOU-D,,Winter Season,Oct 1,May 31,5:00 PM,8:00 PM,19.279,pge
Time-of-Use,E-TOU-D,,Winter Season,Oct 1,May 31,8:00 PM,12:00 AM,15.771,pge
Time-of-Use,E-TOU-D,,Summer Season,June 1,Sept 30,12:00 AM,5:00 PM,11.26,greensource
Time-of-Use,E-TOU-D,,Summer Season,June 1,Sept 30,5:00 PM,8:00 PM,20.56,greensource
Time-of-Use,E-TOU-D,,Summer Season,June 1,Sept 30,8:00 PM,12:00 AM,11.26,greensource
Time-of-Use,E-TOU-D,,Winter Season,Oct 1,May 31,12:00 AM,5:00 PM,13.831,greensource
Time-of-Use,E-TOU-D,,Winter Season,Oct 1,May 31,5:00 PM,8:00 PM,16.939,greensource
Time-of-Use,E-TOU-D,,Winter Season,Oct 1,May 31,8:00 PM,12:00 AM,13.831,greensource
Time-of-Use,E-TOU-D,,Summer Season,June 1,Sept 30,12:00 AM,5:00 PM,12.26,totalgreen
Time-of-Use,E-TOU-D,,Summer Season,June 1,Sept 30,5:00 PM,8:00 PM,21.56,totalgreen
Time-of-Use,E-TOU-D,,Summer Season,June 1,Sept 30,8:00 PM,12:00 AM,12.26,totalgreen
Time-of-Use,E-TOU-D,,Winter Season,Oct 1,May 31,12:00 AM,5:00 PM,14.831,totalgreen
Time-of-Use,E-TOU-D,,Winter Season,Oct 1,May 31,5:00 PM,8:00 PM,17.939,totalgreen
Time-of-Use,E-TOU-D,,Winter Season,Oct 1,May 31,8:00 PM,12:00 AM,14.831,totalgreen
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,12:00 AM,3:00 PM,13.073,pge
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,3:00 PM,4:00 PM,17.187,pge
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,21.658,pge
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,17.187,pge
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,12:00 AM,3:00 PM,12.374,pge
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,3:00 PM,4:00 PM,14.722,pge
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,15.971,pge
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,14.722,pge
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,12:00 AM,3:00 PM,11.566,greensource
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,3:00 PM,4:00 PM,15.434,greensource
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,19.494,greensource
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,15.434,greensource
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,12:00 AM,3:00 PM,10.492,greensource
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,3:00 PM,4:00 PM,13.036,greensource
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,14.101,greensource
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,13.036,greensource
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,12:00 AM,3:00 PM,12.566,totalgreen
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,3:00 PM,4:00 PM,16.434,totalgreen
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,20.494,totalgreen
Electric Vehicle (Home Charging),EV2-A,,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,16.434,totalgreen
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,12:00 AM,3:00 PM,11.492,totalgreen
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,3:00 PM,4:00 PM,14.036,totalgreen
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,15.101,totalgreen
Electric Vehicle (Home Charging),EV2-A,,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,14.036,totalgreen
Electric Vehicle Rate Plan,EV-B,,Summer Season,June 1,Sept 30,12:00 AM,7:00 AM,14.218,pge
